Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,56,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 26, 1, 1, 32, 128, 0, 291829, 291829, 246813, 272376, 0, 84.575, 93.334, 0.000,-0.157129,3,57,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 27, 1, 1, 32, 128, 0, 364539, 364539, 247523, 346320, 0, 67.900, 95.002, 0.000,-0.445430,3,58,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 27, 1, 1, 32, 128, 0, 254381, 254381, 246780, 198432, 0, 97.012, 78.006, 0.000,-0.008644,3,59,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,60,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,61,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,62,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,63,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 27, 1, 1, 32, 128, 0, 364539, 364539, 247523, 346320, 0, 67.900, 95.002, 0.000,-0.445430,3,64,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 27, 1, 1, 32, 128, 0, 364539, 364539, 247523, 346320, 0, 67.900, 95.002, 0.000,-0.445430,3,65,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 26, 1, 1, 32, 128, 0, 291829, 291829, 246813, 272376, 0, 84.575, 93.334, 0.000,-0.157129,3,66,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 26, 1, 1, 32, 128, 0, 291829, 291829, 246813, 272376, 0, 84.575, 93.334, 0.000,-0.157129,3,67,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 25, 1, 1, 32, 128, 0, 291791, 291791, 247763, 272376, 0, 84.911, 93.346, 0.000,-0.156978,3,68,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 25, 1, 1, 32, 128, 0, 512265, 512265, 246997, 494208, 0, 48.217, 96.475, 0.000,-1.031178,3,69,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 25, 1, 1, 32, 128, 0, 512265, 512265, 246997, 494208, 0, 48.217, 96.475, 0.000,-1.031178,3,70,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,71,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 26, 1, 1, 32, 128, 0, 291829, 291829, 246813, 272376, 0, 84.575, 93.334, 0.000,-0.157129,3,72,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 27, 1, 1, 32, 128, 0, 364539, 364539, 247523, 346320, 0, 67.900, 95.002, 0.000,-0.445430,3,73,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 27, 1, 1, 32, 128, 0, 364539, 364539, 247523, 346320, 0, 67.900, 95.002, 0.000,-0.445430,3,74,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 28, 1, 1, 32, 128, 0, 364519, 364519, 247053, 346320, 0, 67.775, 95.007, 0.000,-0.445351,3,75,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 28, 1, 1, 32, 128, 0, 364519, 364519, 247053, 346320, 0, 67.775, 95.007, 0.000,-0.445351,3,76,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 28, 1, 1, 32, 128, 0, 364519, 364519, 247053, 346320, 0, 67.775, 95.007, 0.000,-0.445351,3,77,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 27, 1, 1, 32, 128, 0, 364539, 364539, 247523, 346320, 0, 67.900, 95.002, 0.000,-0.445430,3,78,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 27, 1, 1, 32, 128, 0, 364539, 364539, 247523, 346320, 0, 67.900, 95.002, 0.000,-0.445430,3,79,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 27, 1, 1, 32, 128, 0, 364539, 364539, 247523, 346320, 0, 67.900, 95.002, 0.000,-0.445430,3,80,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 28, 1, 1, 32, 128, 0, 254325, 254325, 246813, 198432, 0, 97.046, 78.023, 0.000,-0.008422,3,81,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 28, 1, 1, 32, 128, 0, 364519, 364519, 247053, 346320, 0, 67.775, 95.007, 0.000,-0.445351,3,82,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 28, 1, 1, 32, 128, 0, 364519, 364519, 247053, 346320, 0, 67.775, 95.007, 0.000,-0.445351,3,83,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 28, 1, 1, 32, 128, 0, 364519, 364519, 247053, 346320, 0, 67.775, 95.007, 0.000,-0.445351,3,84,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 28, 1, 1, 32, 128, 0, 364519, 364519, 247053, 346320, 0, 67.775, 95.007, 0.000,-0.445351,3,85,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 29, 1, 1, 32, 128, 0, 364461, 364461, 246997, 346320, 0, 67.770, 95.023, 0.000,-0.445121,3,86,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 29, 1, 1, 32, 128, 0, 364461, 364461, 246997, 346320, 0, 67.770, 95.023, 0.000,-0.445121,3,87,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 29, 1, 1, 32, 128, 0, 364461, 364461, 246997, 346320, 0, 67.770, 95.023, 0.000,-0.445121,3,88,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 29, 1, 1, 32, 128, 0, 254821, 254821, 247463, 198432, 0, 97.112, 77.871, 0.000,-0.010389,3,89,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 28, 1, 1, 32, 128, 0, 254325, 254325, 246813, 198432, 0, 97.046, 78.023, 0.000,-0.008422,3,90,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 3, 27, 1, 1, 32, 128, 0, 249182, 249182, 246540, 152928, 0, 98.940, 61.372, 0.000,1.197061,3,91,0,
